Date,Name,Year,Letterboxd URI,Rating,Backdrop
2024-04-16,Napoleon,2023,https://boxd.it/shJM,3,https://image.tmdb.org/t/p/w500/eHMh7kChaNeD4VTdMCXLJbRTzcI.jpg
2024-04-17,Leave the World Behind,2023,https://boxd.it/re0i,4,https://image.tmdb.org/t/p/w500/tLsc8SCFO0rMVgVyNm9XtfnyX84.jpg
2024-04-18,Maestro,2023,https://boxd.it/j0DE,4.5,https://image.tmdb.org/t/p/w500/et0G74BxoBgNQEZBkUcVhsgeRFF.jpg
2024-04-19,The Holdovers,2023,https://boxd.it/vHza,5,https://image.tmdb.org/t/p/w500/57fhbxl9is7W7ur5v6UuvlNsoSg.jpg
2024-04-20,Wonka,2023,https://boxd.it/tCQm,4,https://image.tmdb.org/t/p/w500/yyFc8Iclt2jxPmLztbP617xXllT.jpg
2024-04-21,The Iron Claw,2023,https://boxd.it/w5Pm,5,https://image.tmdb.org/t/p/w500/s9uNBc8DTBydKoVa1OzJUjVgVek.jpg
2024-04-22,Past Lives,2023,https://boxd.it/oNB8,5,https://image.tmdb.org/t/p/w500/7HR38hMBl23lf38MAN63y4pKsHz.jpg
2024-04-23,Dream Scenario,2023,https://boxd.it/v2h0,3,https://image.tmdb.org/t/p/w500/okXIAgFc2U6jf4uZrivhwEu7vbW.jpg
2024-04-24,Anatomy of a Fall,2023,https://boxd.it/yuDE,3.5,https://image.tmdb.org/t/p/w500/kszooR7v1TLFM4pzx6IkKq2jDAN.jpg
2024-04-25,May December,2023,https://boxd.it/vEE2,4,https://image.tmdb.org/t/p/w500/97MOhHIgU6ZdLcB9DrAhx3WAqrU.jpg
2024-04-26,CODA,2021,https://boxd.it/tbf4,5,https://image.tmdb.org/t/p/w500/v85FlkbMYKa5du1glm0YfYNsL2n.jpg
2024-04-27,American Fiction,2023,https://boxd.it/DYHm,4.5,https://image.tmdb.org/t/p/w500/3mpgltEMgPf8zFtPnAWdDVN8ZT1.jpg
2024-04-28,Baby Driver,2017,https://boxd.it/bhF2,5,https://image.tmdb.org/t/p/w500/yir5430WblZSZuIMd9C6pIZerfA.jpg
2024-04-29,The Lobster,2015,https://boxd.it/7tnw,4,https://image.tmdb.org/t/p/w500/s48CvFbWoWHhSPgz2wW9Rffw04q.jpg
2024-04-30,Drive My Car,2021,https://boxd.it/sv94,5,https://image.tmdb.org/t/p/w500/r6aqhlmJmu8Dv5E7QYEruaEXKYm.jpg
2024-04-31,The Zone of Interest,2023,https://boxd.it/gJsA,4.5,https://image.tmdb.org/t/p/w500/bq9FpkTw9I3s1cSRuZxQibM2xOx.jpg
2024-05-01,Moonlight,2016,https://boxd.it/d6bE,5,https://image.tmdb.org/t/p/w500/A9KPbYTQvWsp51Lgz85ukVkFrKf.jpg
2024-05-02,Dune: Part Two,2024,https://boxd.it/pUfA,5,https://image.tmdb.org/t/p/w500/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg
2024-05-03,Poor Things,2023,https://boxd.it/tNWU,5,https://image.tmdb.org/t/p/w500/gsVC7HMf4VR2XFOyqjTSklY2Tms.jpg
2024-05-04,Incendies,2010,https://boxd.it/Msm,5,https://image.tmdb.org/t/p/w500/aFmoJntgDPR0Jd8XD1ZfFSmcqMg.jpg
2024-05-05,There Will Be Blood,2007,https://boxd.it/20Z2,4.5,https://image.tmdb.org/t/p/w500/8LRcCJjbQI552BMCuGgYqph8USS.jpg
2024-05-06,La Haine,1995,https://boxd.it/2as8,4.5,https://image.tmdb.org/t/p/w500/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg
2024-05-07,L.A. Confidential,1997,https://boxd.it/27oC,5,https://image.tmdb.org/t/p/w500/fGbM2cqPauRu7ALFPSTDBH9FgpU.jpg
2024-05-08,The Usual Suspects,1995,https://boxd.it/29XE,4,https://image.tmdb.org/t/p/w500/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg
2024-05-09,The Big Sick,2017,https://boxd.it/eHvy,4.5,https://image.tmdb.org/t/p/w500/6RfnVwri4LaK1kSzDp5aebsjYwp.jpg
2024-05-10,Love & Mercy,2014,https://boxd.it/8bd6,4,https://image.tmdb.org/t/p/w500/8dg4q6wM2VmRXU3Vq8hFvB2valV.jpg
2024-05-11,Eighth Grade,2018,https://boxd.it/hDMG,4,https://image.tmdb.org/t/p/w500/nWYtXcwB6ZjucKP8u0BDYjPOssj.jpg
2024-05-12,The Florida Project,2017,https://boxd.it/dMG0,5,https://image.tmdb.org/t/p/w500/pKEp1jpLeNPdTso10hZBDYH7cOl.jpg
2024-05-13,Call Me by Your Name,2017,https://boxd.it/dYmm,5,https://image.tmdb.org/t/p/w500/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg
2024-04-14,Monkey Man,2024,https://boxd.it/kvsO,4.5,https://image.tmdb.org/t/p/w500/lA6KdSkCTxwzvqzPqxch997RabQ.jpg
2024-05-15,Civil War,2024,https://boxd.it/z1jW,4.5,https://image.tmdb.org/t/p/w500/z121dSTR7PY9KxKuvwiIFSYW8cf.jpg
2024-06-15,Godzilla Minus One,2023,https://boxd.it/zu4c,3.5,https://image.tmdb.org/t/p/w500/fY3lD0jM5AoHJMunjGWqJ0hRteI.jpg
2024-06-16,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,4,https://image.tmdb.org/t/p/w500/fqv8v6AycXKsivp1T5yKtLbGXce.jpg
2024-06-17,Late Night with the Devil,2023,https://boxd.it/zo6G,4.5,https://image.tmdb.org/t/p/w500/4yrOyO3N55XazHQXXYoqiiPQd40.jpg
2024-06-18,Get Out,2017,https://boxd.it/eOCm,5,https://image.tmdb.org/t/p/w500/o8dPH0ZSIyyViP6rjRX1djwCUwI.jpg
2024-06-19,The Way Back,2020,https://boxd.it/jfoO,4,https://image.tmdb.org/t/p/w500/jcQfgcq1j7Vit4wQ54niXiLfvE8.jpg
2024-06-20,The Edge of Seventeen,2016,https://boxd.it/d5nu,4.5,https://image.tmdb.org/t/p/w500/zxQMedIezpcS6Npx8Q5o30WNDhC.jpg
2024-06-21,Juno,2007,https://boxd.it/210a,5,https://image.tmdb.org/t/p/w500/sRXMmeNHTSWRYdDz3zaHNyyPJ0u.jpg
2024-06-22,Challengers,2024,https://boxd.it/zld0,5,https://image.tmdb.org/t/p/w500/9joRUC4UyFHkrHf7ihmFaQ1ZZ3.jpg
2024-06-23,The Silence of the Lambs,1991,https://boxd.it/2aHW,5,https://image.tmdb.org/t/p/w500/mfwq2nMBzArzQ7Y9RKE8SKeeTkg.jpg
2024-06-24,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4.5,https://image.tmdb.org/t/p/w500/raph7qjAGTMXaIjVxt6ZDSXRzUr.jpg
2024-06-25,Ex Machina,2015,https://boxd.it/7T2k,4,https://image.tmdb.org/t/p/w500/dlz8uzyl9mHPyHXbveXutzpx8jI.jpg
2024-06-26,Annihilation,2018,https://boxd.it/9yzm,4.5,https://image.tmdb.org/t/p/w500/vYs1YGalB8IEXxdxDtqkL0vfHjO.jpg
2024-06-27,Milk,2008,https://boxd.it/1WZC,4,https://image.tmdb.org/t/p/w500/znzTuCjd8cm0uGxSqFOuwJO6anz.jpg
2024-06-28,Inside Out,2015,https://boxd.it/4KHC,5,https://image.tmdb.org/t/p/w500/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg
2024-06-29,Uncut Gems,2019,https://boxd.it/gXGc,5,https://image.tmdb.org/t/p/w500/uzvT6tYrU5SxfHe1ieimIGAqyFm.jpg
2024-06-30,Inside Out 2,2024,https://boxd.it/CFrC,5,https://image.tmdb.org/t/p/w500/stKGOm8UyhuLPR9sZLjs5AkmncA.jpg
2024-06-01,Booksmart,2019,https://boxd.it/igNS,4,https://image.tmdb.org/t/p/w500/cheDSO3mYmsAFQlRM91o7MK6Wcc.jpg
2024-07-02,The Last Stop in Yuma County,2023,https://boxd.it/DCVQ,4,https://image.tmdb.org/t/p/w500/Y91KJmQ13jNEpOlNL9j6PPRpIO.jpg
